log_id,tower_id,region,timestamp,latency_ms,packet_loss_pct
1,31,West,2025-05-30 19:35:55.977112,99.77,1.57
2,13,West,2025-07-22 11:38:27.312956,120.61,3.77
3,12,West,2025-01-28 21:59:36.379825,89.47,4.33
4,14,North,2025-06-16 16:08:47.705113,73.55,3.62
5,25,West,2025-02-26 15:09:20.445926,73.0,1.78
6,48,South,2025-09-29 05:42:22.218996,90.9,1.42
7,39,South,2025-04-24 03:39:32.796935,111.02,1.26
8,4,East,2025-05-17 13:07:12.887616,85.33,2.27
9,36,North,2025-03-22 15:37:20.185640,103.74,1.96
10,25,North,2025-05-23 10:52:37.389380,99.11,0.4
11,30,North,2025-03-11 07:13:18.553134,103.61,3.0
12,31,East,2025-03-24 06:20:07.827940,83.7,2.09
13,16,North,2025-01-19 21:08:32.238065,87.33,2.58
14,9,West,2025-08-19 10:03:44.240487,98.06,2.52
15,12,West,2025-07-24 10:53:57.780028,75.11,1.26
16,42,West,2025-01-27 06:04:40.604866,109.0,0.87
17,19,East,2025-04-16 07:23:05.843863,85.6,1.05
18,17,North,2025-06-15 20:27:59.142675,77.49,2.46
19,44,West,2025-10-25 08:08:56.532563,118.94,0.82
20,45,East,2025-06-30 15:22:42.108756,101.1,4.02
21,8,West,2025-06-19 13:48:30.834483,92.66,1.99
22,31,East,2025-09-15 13:07:36.029967,105.75,0.85
23,33,North,2025-09-08 16:30:43.470439,82.81,2.78
24,1,East,2025-05-09 05:34:36.619036,82.19,2.06
25,23,West,2025-06-14 00:50:17.577676,86.27,0.72
26,22,South,2025-09-23 12:58:40.236462,123.27,4.29
27,7,North,2025-05-26 10:40:30.181660,121.38,2.83
28,23,North,2025-09-28 01:29:06.120340,74.28,2.36
29,11,South,2025-05-26 21:14:44.632815,135.02,0.44
30,38,South,2025-01-25 04:26:19.106077,99.37,3.34
31,50,South,2025-10-04 12:46:24.119306,108.65,2.19
32,10,North,2025-08-07 19:13:25.336019,85.66,2.02
33,15,North,2025-06-03 19:12:09.809230,100.42,0.63
34,22,South,2025-10-03 19:42:07.696157,77.38,2.38
35,44,North,2025-09-03 04:30:59.953607,84.35,2.4
36,24,North,2025-07-27 12:54:10.054166,117.06,4.96
37,12,East,2025-07-09 23:56:32.827874,117.58,2.07
38,14,West,2025-02-06 20:15:11.175763,109.61,3.84
39,33,West,2025-08-20 22:28:43.737590,91.41,4.23
40,19,West,2025-02-22 22:55:15.834645,73.98,1.73
41,42,West,2025-10-29 12:35:19.187075,126.0,2.93
42,46,North,2025-10-25 18:52:38.619612,119.21,1.79
43,39,East,2025-09-05 15:24:18.202445,63.23,0.42
44,22,West,2025-02-08 15:39:26.335390,117.96,4.96
45,14,South,2025-05-10 16:26:37.491469,92.64,3.25
46,30,North,2025-10-30 17:20:50.510689,114.05,1.65
47,41,South,2025-05-14 08:47:48.155934,70.7,1.72
48,21,West,2025-11-02 11:25:55.920660,86.63,2.05
49,45,North,2025-07-12 03:03:29.532323,101.89,4.72
50,39,East,2025-09-13 11:57:07.524927,136.12,0.21
51,9,North,2025-03-20 23:51:12.634552,153.34,4.6
52,1,North,2025-10-06 23:47:09.628402,101.94,0.25
53,8,West,2025-10-08 00:33:23.592292,122.33,1.21
54,49,East,2025-01-21 12:38:19.951535,104.64,4.38
55,9,East,2025-04-29 21:06:49.802874,103.9,2.2
56,20,East,2025-05-02 17:09:29.596241,110.75,0.22
57,4,North,2025-04-10 21:31:25.160256,98.83,0.14
58,40,South,2025-03-26 14:29:32.636595,116.53,3.45
59,18,South,2025-05-21 08:08:45.431526,78.68,1.07
60,24,East,2025-09-25 13:17:37.365600,98.97,0.32
61,28,North,2025-08-29 22:19:58.513700,138.24,2.53
62,46,North,2025-07-10 20:24:54.125838,123.28,4.09
63,19,North,2025-06-10 01:37:06.740533,106.42,0.06
64,18,South,2025-05-09 12:38:49.989338,120.04,3.48
65,31,West,2025-05-07 22:46:35.050325,131.21,3.25
66,34,East,2025-02-15 09:29:29.434621,60.97,1.75
67,18,West,2025-06-30 02:12:07.885167,94.46,1.87
68,14,East,2025-08-21 07:13:01.396798,86.57,1.07
69,23,North,2025-10-15 19:50:38.083227,71.95,0.17
70,11,North,2025-10-11 07:36:58.877611,141.82,1.6
71,1,South,2025-06-22 08:34:25.960533,111.76,3.62
72,17,North,2025-01-31 22:25:55.192295,119.25,3.49
73,42,North,2025-03-29 15:12:49.544052,87.38,1.36
74,1,South,2025-06-14 01:42:48.794023,94.04,4.16
75,7,West,2025-04-16 07:57:24.643192,99.9,0.05
76,20,South,2025-05-06 20:39:40.287170,107.98,0.7
77,29,East,2025-04-28 07:56:49.069254,115.7,0.38
78,35,North,2025-05-29 17:46:48.872564,64.45,4.72
79,27,North,2025-07-06 12:47:23.378260,114.29,3.9
80,12,North,2025-01-12 11:25:44.967563,95.33,3.78
81,19,North,2025-03-26 08:42:32.870788,132.16,3.19
82,20,South,2025-02-14 01:32:02.353225,127.07,3.14
83,33,South,2025-07-06 10:32:01.459824,105.83,3.66
84,44,North,2025-08-01 11:27:21.258422,100.64,3.88
85,29,East,2025-01-12 21:06:36.282272,93.82,0.42
86,42,East,2025-09-30 11:42:41.419430,108.1,2.41
87,6,North,2025-04-12 12:58:52.262278,125.81,2.22
88,36,West,2025-03-14 18:33:57.459854,101.1,2.85
89,20,North,2025-08-17 10:23:07.417216,88.86,3.08
90,37,South,2025-10-10 01:31:31.019149,100.65,4.14
91,34,North,2025-10-02 18:31:58.031676,106.21,2.97
92,44,North,2025-01-07 04:44:32.036064,77.45,0.82
93,50,West,2025-09-08 09:01:07.536994,72.72,0.86
94,23,North,2025-04-03 19:54:38.747469,89.36,3.34
95,46,South,2025-03-27 20:58:13.884552,132.11,0.44
96,45,West,2025-05-31 14:08:32.402958,124.48,4.47
97,21,North,2025-08-02 05:59:36.254398,68.57,2.31
98,31,East,2025-01-31 02:02:45.172394,81.35,1.95
99,40,West,2025-09-24 03:43:30.184561,115.33,3.91
100,41,South,2025-02-11 03:56:10.195047,91.72,4.65
101,4,East,2025-10-26 09:58:53.063821,109.22,1.37
102,36,South,2025-05-16 17:31:51.590048,69.55,4.12
103,42,West,2025-09-10 23:02:47.102114,100.24,1.7
104,16,East,2025-03-24 12:38:34.839729,98.14,1.61
105,5,West,2025-05-08 15:54:28.200678,119.36,3.05
106,47,North,2025-07-17 17:48:03.736337,107.98,4.27
107,11,East,2025-02-27 13:36:38.308013,102.86,2.25
108,32,West,2025-03-06 18:02:19.901977,65.48,0.06
109,6,West,2025-09-10 09:25:02.912511,139.06,2.96
110,24,North,2025-08-15 23:03:40.486847,113.74,3.68
111,13,West,2025-08-21 15:25:14.361800,85.77,0.58
112,25,South,2025-09-23 15:08:46.395302,102.34,2.98
113,27,West,2025-09-09 11:42:55.864252,92.31,2.15
114,34,East,2025-06-07 20:00:32.699725,95.88,2.77
